web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1549151201-428,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@VegNews,VegNews Magazine,Time is running out to enter our Holiday Cookie Contest! Submit your most stunning #vegan recipe before Dec. 10! http://veg.gy/5CXy9,,4,,1.32321E+12,12/7/2011 3:30,/VegNews/status/144174492434972672
1549151201-3299,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@vegandaemon,"house of 1,000 grinches",Oh hells yes! Make Your Own #VEGAN Thin Mints Girl Scout Cookies: http://bit.ly/eecVsF #thereisagod (no not rly but still!),,1,2,1.29851E+12,2/24/2011 6:47,/vegandaemon/status/40580969530535936
1549151201-1992,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@VeganPlace,Lee Hall,"I'll never call going #vegan easy (socially, it's the hardest thing I've ever done); but I'll always call it entirely worth the commitment.",3,8,1,1.3113E+12,7/22/2011 7:22,/VeganPlace/status/94223199327354881
1549151201-3072,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@glamourmag,Glamour,Why Is Everyone Going #Vegan? http://glmr.me/gHCeQY #health,,1,1,1.30097E+12,3/24/2011 17:01,/glamourmag/status/50882438842425346
1549151201-2520,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@VeganEtsyTeam,Vegan Etsy Team,Kale: A Vegan Obsession - who doesn't need another kale recipe!!  :D  http://www.veganetsy.com/2011/05/kale-vegan-obsession.html?spref=tw …  #kale  #vegan  #veganetsy,,3,1,1.30621E+12,5/24/2011 8:51,/VeganEtsyTeam/status/72864720113250304
1549151201-2051,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@NoMeatAthlete,Matt Frazier,"Living below the Mason-Dixon line, I consider it my duty to make fried green tomatoes once a summer. #vegan recipe: http://bit.ly/qCETfJ",1,1,2,1.31061E+12,7/14/2011 7:15,/NoMeatAthlete/status/91322472552603648
1549151201-2912,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@TrueNorthVegan,Laura Thompson,@TorontoVeg Had the #Veggielicious special at @SadiesDiner for lunch. A (peach and mango) smoothie and #vegan rancheros. Yum!,,2,1,1.30254E+12,4/11/2011 22:45,/TrueNorthVegan/status/57492021321023488
1549151201-3371,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@crunchyliving,rawbellion,Happy Valentines Day ... so appropriate to land on MeatlessMonday ... give animals and the planet love today and Don't Eat Meat! #vegan,,4,,1.29771E+12,2/14/2011 23:57,/crunchyliving/status/37216283669823488
1549151201-1056,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@VegNews,VegNews Magazine,"With a #vegan, no less! MT @TLC Ever been to a coupon swap? Watch #ExtremeCouponing tonight to see how it's done! http://veg.gy/aOH6h",,2,1,1.31907E+12,10/20/2011 5:30,/VegNews/status/126810022889000962
1549151201-2040,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@KellyDeMirandis,Kelly De Mirandis,Vegans Take London is LIVE! Visit the site at http://veganstakelondon.com  and follow us at @VeganTakeLondon #vegan #win,,4,,1.31073E+12,7/15/2011 16:12,/KellyDeMirandis/status/91819885906239488
1549151201-2790,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@peta,PETA,Good choices! RT @veggywood: #FF #vegan @FloreVegan @SageVegan @kindkreme @VeggieGrill @crueltyfreeface @iLoveMCafe @ecorazzi @peta2 @peta,,6,1,1.3035E+12,4/23/2011 1:07,/peta/status/61513896820867072
1549151201-3060,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@lunchboxbunch,Kathy Patalsky,"ah, I LOVE that #vegan is #12 on google trending topics :) recipes to get you started!.. http://su.pr/26N2L9",,2,3,1.30109E+12,3/26/2011 3:57,/lunchboxbunch/status/51410000177926144
1549151201-3159,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@HomegrownSmoker,Homegrown Smoker,One buck from each combo and $8 special sold for the rest of this MONTH will go to Japan aid. Peace. #vegan #bbq #crueltyfree #Japan,,8,,1.30008E+12,3/14/2011 9:52,/HomegrownSmoker/status/47150516207226880
1549151201-1093,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@WholeFoods,Whole Foods Market,Learn to cook this Beautiful Pot of Beans and save money all season! http://cot.ag/ocvvf7  #Vegan #GF,,24,34,1.31878E+12,10/16/2011 21:30,/WholeFoods/status/125601950812209152
1549151201-836,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@OneGreenPlanet,One Green Planet,The McRib: A Truly Scary Halloween Sandwich from McDonald's http://bit.ly/vKRhyD  #vegan,,6,,1.32065E+12,11/7/2011 12:42,/OneGreenPlanet/status/133441580823613440
1549151201-740,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@veganshopper,PETA Mall,"Have you tried these all-natural #vegan gummy vitamins from @PETA Business Friend, @GummiKing? Yum! http://bit.ly/dUMoR4",,5,2,1.32129E+12,11/14/2011 21:26,/veganshopper/status/136110336095961088
1549151201-1798,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@danishay,Dani Shay,Hahah! I guess that wouldn't be very #vegan of me.“@RoosterKickin: @danishay i'd rather not be eaten... but still... #supportcannibalism =D”,3,2,2,1.31304E+12,8/11/2011 10:24,/danishay/status/101516819751370752
1549151201-1175,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@vegucated,Vegucated,"Come see our #vegan documentary premiere in #NYC Thu Oct 13 8 pm. Buy tickets, get more details: http://dld.bz/arv5r  Pls RT",,2,,1.31815E+12,10/9/2011 14:09,/vegucated/status/122954289256734720
1549151201-1108,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@VeganPlace,Lee Hall,"As @pferal notes, the US war on wolves is a #vegan and global matter; friends: supportive comments would be appreciated http://ow.ly/6XNKq",,3,1,1.31862E+12,10/15/2011 0:46,/VeganPlace/status/124926508258164738
1549151201-1350,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@POPSUGARFitness,POPSUGAR Fitness,5 things you need to prepare for going #vegan from grains to almond milk http://fitsu.gr/19178457,,4,4,1.31677E+12,9/23/2011 15:45,/POPSUGARFitness/status/117180164303101953
1549151201-2628,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@EarthActivists,EAs for Earth(lings),are you a meat-eater and afraid of #vegetarian and #vegan movements ? ... good ... now imagine how afraid the #animals YOU let kill ARE ...,,5,,1.30513E+12,5/11/2011 20:50,/EarthActivists/status/68334577432801280
1549151201-3129,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@theveganlisa,Lisa P,"April 10 - #Toronto #Vegan Bakers let's set up a sale - Toronto Bakes for Japan, have you signed up yet? http://tinyurl.com/4nsmq5x",,4,,1.30037E+12,3/17/2011 19:18,/theveganlisa/status/48380256138170368
1549151201-3135,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@GirlieGirlArmy,Chloé Jo Davis,Being vegan is SO gay: http://girliegirlarmy.com/blog/20110316/being-vegan-is-so-gay/ #gay #vegan,,3,3,1.3003E+12,3/17/2011 0:14,/GirlieGirlArmy/status/48092207105835009
1549151201-3650,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Veganism,Veganism,We did not evolve millions of years eating foods that sicken and kill us unless cooked at 250+ degrees F. Stay #vegan!,,6,1,1.29438E+12,1/7/2011 10:28,/Veganism/status/23242052883972096
1549151201-2645,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@VegWeb,VegWeb,"We have a new recipe for #vegan Roasted Garlic Alfredo Sauce that's OUTRAGEOUS! Seriously, I'm eating it with a spoon! http://bit.ly/l8pmEU",,2,3,1.30496E+12,5/9/2011 21:52,/VegWeb/status/67625504416600065
1549151201-3365,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@VegNews,VegNews Magazine,Holy crap!! New #vegan candy bar alert!! http://tinyurl.com/4zmsglb,,6,1,1.29773E+12,2/15/2011 5:48,/VegNews/status/37304683102085120
1549151201-1465,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@FarmSanctuary,Farm Sanctuary,"Join @PCRM’s 21-Day #Vegan Kickstart TODAY! Receive meal plans, nutrition webcasts & more!  http://21DayKickstart.org",,6,1,1.31586E+12,9/13/2011 2:13,/FarmSanctuary/status/113352036573118464
1549151201-916,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@VegNews,VegNews Magazine,"Ok, last minuters, here it is one more time: the official guide to #vegan Halloween candy! Happy Halloween everyone!! http://veg.gy/sXmsp",1,26,6,1.32008E+12,10/31/2011 22:23,/VegNews/status/131051260852961280
1549151201-789,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Veganism,Veganism,Great article on #vegan toddler nutrition: http://www.animalperson.net/animal_person/2011/10/how-does-my-vegan-toddler-get-enough-protein.html … via @mary_martin,1,12,7,1.32094E+12,11/10/2011 20:05,/Veganism/status/134640298990108672
1549151201-1887,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@peta,PETA,Read about the journey of 1 #vegan & find out how your words & actions may influence others to do the right thing: http://ht.ly/5SgaD,1,17,1,1.31222E+12,8/1/2011 21:55,/peta/status/98066897538523137
1549151201-3712,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@sheenalashay,Sheena LaShay,made a raw spicy tomato soup yesterday. vid coming soon #rawfood #vegan #vegetarian http://twitpic.com/3lrwm4,,,,1.29384E+12,1/1/2011 5:35,/sheenalashay/status/20993981034799104
1549151201-449,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Inspired_by_Ian,Inspired by Ian,Another awesome #Artisan to buy from for the #Holiday... @CRobinsonDesign...her #Vegan jewelry is PAW-some! http://www.christyrobinsondesigns.com/  #animals,1,2,,1.32312E+12,12/6/2011 2:01,/Inspired_by_Ian/status/143789583241445378
1549151201-3459,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@peta,PETA,"Lots of poop talk on #veganoprah, #vegan diet helps keep you regular. Just ask @aliciasilv: http://ht.ly/3Ou7K",,4,3,1.2966E+12,2/2/2011 5:17,/peta/status/32585929277313025
1549151201-2981,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Vegan_Beauty,Vegan Beauty Review,Cruelty-free Lips! Check out my top picks for #vegan lip balms on @OneGreenPlanet: http://bit.ly/haLoAi,,6,,1.30187E+12,4/4/2011 4:57,/Vegan_Beauty/status/54686404982214656
1549151201-3470,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Vegangail,Gail Davis,"No calories, no fat, no carbs no kidding! @miraclenoodle @VeganQueso are a #vegan weight-conscious food-lover's dream! http://bit.ly/hP6DFE",,1,2,1.29659E+12,2/2/2011 1:52,/Vegangail/status/32534362884935681
1549151201-1814,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@WholeFoods,Whole Foods Market,"This vegan pesto is thick & fragrant, and features roasted pumpkin seeds, olive oil, cilantro & garlic...YUM! http://cot.ag/nnTQzW #vegan",6,30,40,1.31292E+12,8/10/2011 0:15,/WholeFoods/status/101001048478588929
1549151201-1758,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@veganscore,Seattle Vegan Score,Been trying to collect all the #vegan blogs in the #Seattle area for ever. I know am missin MANY. Got a #vegan blog? >> http://ow.ly/631kl,2,1,2,1.31338E+12,8/15/2011 8:16,/veganscore/status/102934119897513985
1549151201-1537,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Lceballos80,Lulu Ceballos,“@Lizannapm: First #Vegan Tast Demo went great! thx for those who joined :) @handycg @marisancarlos @Lceballos80”/ it was fantastic!!!,1,2,1,1.31518E+12,9/5/2011 4:25,/Lceballos80/status/110486195183681537
1549151201-2537,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@familyfocusblog,Scarlet | Family Focus Blog,"Kid-Friendly Gooey #Vegan Mac 'n ""Cheese"" Recipe | Family Focus Blog | Green Family Blog http://bit.ly/mqc5EJ #eco",,1,3,1.306E+12,5/21/2011 23:18,/familyfocusblog/status/71995867833450496
1549151201-697,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@WholeFoods,Whole Foods Market,This one is our most popular #Vegan holiday recipe.....CELEBRATION LENTIL LOAF: http://cot.ag/tBHMdp  #WFMdish,5,19,17,1.32149E+12,11/17/2011 6:50,/WholeFoods/status/136976852416872450
1549151201-2197,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@allthingsvegan,lisa shapiro,"our food should be grown, not born. #vegan",,21,1,1.30912E+12,6/27/2011 3:11,/allthingsvegan/status/85100365950881792
1549151201-1218,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@geekypoet,Kathy Hester,Slow Cooker Lemon Raspberry Cheesecake Oatmeal with So Delicious Greek Yogurt #vegan #slowcooker http://wp.me/pLJaT-yT,,2,2,1.31782E+12,10/5/2011 18:52,/geekypoet/status/121576100311736320
1549151201-719,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Glutenfreeworks,Gluten Free Works!,#GlutenFree + #Vegan gingersnap cookies.... a perfect treat! http://bit.ly/tPzDfQ,,2,1,1.32139E+12,11/16/2011 1:22,/Glutenfreeworks/status/136532029981470722
1549151201-187,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Veganism,Veganism,A list of #vegan champagnes at Barnivore: http://www.barnivore.com/search?utf8=%E2%9C%93&keyword=champagne&commit=Search# …,2,7,3,1.3251E+12,12/29/2011 0:11,/Veganism/status/152096866576760833
1549151201-3465,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@farmerhaley,Mike Haley,After watching #Oprah today I am considering going #vegan Blog Post: http://ow.ly/3OqFF #agchat,,12,,1.2966E+12,2/2/2011 3:35,/farmerhaley/status/32560205589909504
1549151201-1712,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@omgponiez,Lindsay Barnett,Bill Clinton talks about being #vegan: http://lat.ms/r6bSBt  (via @LATimesHealth) Go Bill!!,,3,,1.31372E+12,8/19/2011 7:15,/omgponiez/status/104368384581447680
1549151201-3061,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@THEgfJules,Jules Dowler Shepard,They're my new fav #GF muffin! RT @erinschrode: I. MUST. MAKE. NOW. @JulesGlutenFree: Lemony Cranberry! http://bit.ly/f3iCJB #gfree #vegan,,1,1,1.30105E+12,3/25/2011 17:34,/THEgfJules/status/51253065688424448
1549151201-1764,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@richroll,richroll,New Blog Post :: Summer Update :: http://bit.ly/pYTYFd  #plantpower #vegan,1,1,1,1.3133E+12,8/14/2011 10:02,/richroll/status/102598324917514240
1549151201-2433,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Earth_Balance,Earth Balance,"Down With Ground Meats! Here are tips for making your own veggie burgers, sausages and hot dogs:  http://cot.ag/j3fXd9
#vegan",,4,2,1.30697E+12,6/2/2011 4:09,/Earth_Balance/status/76055179488792576
1549151201-3608,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@crunchyliving,rawbellion,RT Fan us on FB and get another entry for our @wholefoods GC giveaway http://on.fb.me/hrwJLM #vegan #contest #green #giveaway #vegan,,51,,1.29498E+12,1/14/2011 9:00,/crunchyliving/status/25756732873506816
1549151201-2589,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Veganmainstream,Vegan Mainstream,#Vegan Woody Harrelson will appear in film Hunger Games . http://bit.ly/iBlwgR / via @vegnews,,3,1,1.30556E+12,5/16/2011 21:32,/Veganmainstream/status/70157072334991360
1549151201-2862,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@TreeHugger,TreeHugger.com,Whoa! #Vegan Magazine Claims Meat is...Vegan http://ow.ly/4B8LE,,6,2,1.30289E+12,4/15/2011 23:15,/TreeHugger/status/58948965617500160
1549151201-3444,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@thefullhelping,Gena Hamshaw,"A new post featuring not 1, but 2 recipes i love: raw nori ""cigars"" and a creamy avocado soup! http://bit.ly/dMEERk #vegan #rawfood",,2,1,1.29679E+12,2/4/2011 8:02,/thefullhelping/status/33352220929949696
1549151201-2551,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@TheVeganSociety,The Vegan Society,FREE leaflets at #VegFestUK ! From #Vegan Recipes to Vegan for the Animals @ us if you want book a stack. Preview PDFs: http://bit.ly/jyS1Nc,,3,,1.30588E+12,5/20/2011 15:14,/TheVeganSociety/status/71511564477407232
1549151201-1186,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Earth_Balance,Earth Balance,Win tickets to attend a screening of the new film @vegucated at a city near you! Find out how to enter: http://cot.ag/nPsS31  #vegan,,3,,1.31802E+12,10/8/2011 2:30,/Earth_Balance/status/122415943350620161
1549151201-1979,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Macbethfootwear,Macbeth,His and Hers. @macbethfootwear #vegan #freshest http://instagr.am/p/ITid8/ (via @xpigx),2,8,1,1.31143E+12,7/23/2011 20:35,/Macbethfootwear/status/94785120686444545
1549151201-1146,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@IDAUSA,InDefenseOfAnimals,IDA is being SUED for rescuing badly neglected animals.  Please Help! http://tinyurl.com/3mcp4c9  #vegan #compassion,,11,1,1.31836E+12,10/12/2011 1:45,/IDAUSA/status/123854275976765440
1549151201-2743,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@TheVeganRD,Ginny Kisch Messina,RT @OneGreenPlanet: @TheVeganRD discusses the important supplements people on a #vegan diet need to take! SHARE! http://bit.ly/jDW1fK,,3,3,1.30394E+12,4/28/2011 2:23,/TheVeganRD/status/63345104391385088
1549151201-949,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@lunchboxbunch,Kathy Patalsky,Pumpkin Pie Apple Crisp: http://blogs.babble.com/family-kitchen/2011/10/28/pumpkin-pie-apple-crisp/ … ..combining pumpkin & apple pie - my fall #vegan dessert experiment gone right!,,2,2,1.31981E+12,10/28/2011 20:20,/lunchboxbunch/status/129933021250981888
1549151201-2181,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@ALLCAPSVEGAN,ALLCAPSVEGAN,"WOW, I AM FEELING REALLY GREAT TODAY.. MUST HAVE BEEN SOMETHING I ATE. #VEGAN",,12,4,1.30929E+12,6/29/2011 0:16,/ALLCAPSVEGAN/status/85781093218910210
1549151201-1221,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@WTBFitness,Heather Iacobacci,"Yummy #vegan taco salad bowls with Field Roast ""sausages,"" veggies & @daiyacheese http://ow.ly/6NAJT",,1,1,1.31778E+12,10/5/2011 7:00,/WTBFitness/status/121396697816506369
1549151201-2860,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@So_Delicious,So Delicious,Strawberry Scones? Yes please! http://bit.ly/dXhLjN #dairyfree #glutenfree #vegan #recipe,,2,2,1.3029E+12,4/16/2011 0:56,/So_Delicious/status/58974407728705536
1549151201-1895,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@racheljayne24,rachel turvey,"@EarthActivists tryed rice milk today and actually like it, the only milk i do like x #coffee #milk #vegan",,2,1,1.31204E+12,7/30/2011 20:11,/racheljayne24/status/97315765325283328
1549151201-2774,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@VeggieFest,Veggie Fest Chicago,RT @jacr13 RT @MeatFreeTweets: All you need to know about the vitamin B12 #vegetarian #vegan http://bit.ly/gKSOgC,,2,2,1.30371E+12,4/25/2011 11:32,/VeggieFest/status/62396019488456704
1549151201-267,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@YourDailyVegan,Your Daily Vegan,"Tyson recalls more meat.  Shock.  Be Aware, Share, and if you're not already- please, choose #vegan http://ht.ly/85pwa",,24,2,1.3244E+12,12/20/2011 22:23,/YourDailyVegan/status/149170450738577409
1549151201-1527,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@OneGreenPlanet,One Green Planet,Vegan hot dog at the Organic food stand at Chelsea Piers in #NYC. #vegan #win !  http://yfrog.com/nw5t7mj,2,6,2,1.31526E+12,9/6/2011 4:37,/OneGreenPlanet/status/110851699400388609
1549151201-3221,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@SarahSnacks,Sarah with an H,Almost a year of being vegan and I've never felt more joyful!  It makes me so happy to be able to live a kind life! #vegan #VeganProud,,1,1,1.29945E+12,3/7/2011 5:12,/SarahSnacks/status/44543356562456576
1549151201-2087,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@YourDailyVegan,Your Daily Vegan,Are you #vegan? Do you love animals? Visit Sanctuaries? Belong to a Rescue Group? Seen this? http://bit.ly/qHQLos,,1,2,1.31032E+12,7/11/2011 0:30,/YourDailyVegan/status/90133349158486016
1549151201-3621,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@thisdishisveg,ThisDishIsVeg,Have you checked out Kristen's list of five impactful films that support the vegan cause? http://bit.ly/hv9kSq  #vegan #animalrights,,1,1,1.29486E+12,1/13/2011 1:45,/thisdishisveg/status/25284641216790528
1549151201-154,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@WholeFoods,Whole Foods Market,"Here's a great NYE party appetizer! MUSHROOM, RADISH & HEARTS OF PALM SKEWERS: http://cot.ag/thwIkV  #Vegan #WFMdish",2,10,2,1.32527E+12,12/30/2011 23:00,/WholeFoods/status/152803635879870466
