handle,content,tweet_replies,tweet_retweets,tweets_favorites,published_date,user_description,total_status_counts,total_followers,total_favorites,total_friends,account_created,protected,verified,screenName,location,lang,id,listedCount,followRequestSent,no_of_hashtags,no_of_urls
365_DOTS,today is the last day of our  pippihepburn  giveaway  enter now to  win this amazing  vegan  leather  handbag  ,NA,4,1,10/31/2011 22:45,Connecting Fashion. Food. Travel I LA | Creator of @TC_Affair <f0><U+009F><U+0092><U+008C> hello@365dots.com,19700,3978,6851,851,3/5/2009 1:23,FALSE,FALSE,365_DOTS,Los Angeles ,en,22859431,155,FALSE,5,1
365_DOTS,we ve partnered with  pippihepburn to give away the perfect  handbag for fall  and it s  vegan  leather    giveaway,NA,6,1,10/19/2011 6:26,Connecting Fashion. Food. Travel I LA | Creator of @TC_Affair <f0><U+009F><U+0092><U+008C> hello@365dots.com,19700,3978,6851,851,3/5/2009 1:23,FALSE,FALSE,365_DOTS,Los Angeles ,en,22859431,155,FALSE,4,1
365_DOTS,have you entered today s  giveaway   enter now to  win a beautiful  vegan  leather  handbag   ,NA,4,2,12/16/2011 10:27,Connecting Fashion. Food. Travel I LA | Creator of @TC_Affair <f0><U+009F><U+0092><U+008C> hello@365dots.com,19700,3978,6851,851,3/5/2009 1:23,FALSE,FALSE,365_DOTS,Los Angeles ,en,22859431,155,FALSE,5,1
3AMArtPR,eating meat causes more greenhouse gas than driving a big honking suv   shoutingfromtheroofinvain  vegan please rt,2,11,NA,6/20/2011 9:10,"Artist, Photographer, WAHM of 3, Vegan, Nutritionist, Educator, Homeschooler, Dog rescuer,",35881,7109,9779,7342,2/3/2009 19:38,FALSE,FALSE,3AMArtPR,The Internet,en,19996917,298,FALSE,2,0
4TheAdventure,has just had the most delicious meal at the  terreaterre restaurant in brighton    vegan  veggie,NA,2,1,3/13/2011 4:05,"An adventure seeker stricken with permanent Wanderlust. Skater, Runner & Fitness Lover.",4276,1042,1083,953,6/2/2010 12:27,FALSE,FALSE,4TheAdventure,England,en,151024916,46,FALSE,2,0
8thContinentSoy,we are having a huge giveaway over on the facebook fan page at 2 00 pm est tomorrow   the 5th   please rt   vegan  gf,NA,5,1,1/6/2011 3:07,"We here at 8th Continent Soymilk tweet about coupons, recipes, crafts and tips on how to live a healthy happy lifestyle! Feel free to say hello!",4001,1728,77,1804,5/19/2009 18:20,FALSE,FALSE,8thContinentSoy,"Santa Ana, CA",en,41173460,68,FALSE,2,1
aaronsimpson,had a  vegan  meatlessmonday with my wife and kids   ratatouille with lentils and  gardein chicken  vegan chocolate pudding with avocado ,2,2,1,8/23/2011 8:05,Real Estate Agent at Revelation Real Estate. Proud @asuwrestling Alum. Fist fought in the @UFC once upon a time. And...I don't eat animals...ever.,25175,26037,35901,2796,3/23/2009 21:02,FALSE,TRUE,aaronsimpson,"Tempe, Scottsdale, Gilbert, AZ",en,26089290,538,FALSE,1,0
adventuresinveg,my first blog post in aaages  what i ate  well  some of it      in barcelona      vegan  food,2,2,NA,7/28/2011 2:26,Irish-based veggie blog with lots of vegan eats & treats. Run by a journalist who's obsessed with dark chocolate& beehives (the hair kind).,4170,1370,4,1181,3/3/2010 12:40,FALSE,FALSE,adventuresinveg,"Dublin/Cork, Ireland ",en,119367794,85,FALSE,2,1
AishaThalia,want to help your body  the planet and our animal friends  start the new year right   vegan ,NA,1,1,12/21/2011 23:53,Curls. Consciousness. Curves. * Vegan * Lover * Masters in Education * Bikini Guru * IG= AishaThalia,11589,33932,5735,503,9/16/2010 17:59,FALSE,FALSE,AishaThalia,Miami,en,191535494,317,FALSE,1,1
AishaThalia,i m  vegan  i dont expect my friends 2 be  but i will warn you that in order to sustain this planet u need 2 cut back asap on meat eating ,NA,1,1,5/15/2011 19:03,Curls. Consciousness. Curves. * Vegan * Lover * Masters in Education * Bikini Guru * IG= AishaThalia,11589,33932,5735,503,9/16/2010 17:59,FALSE,FALSE,AishaThalia,Miami,en,191535494,317,FALSE,1,0
AJShannon, vegansaurus as promised   the  vegan s more pocket pies   via  meettheshannons,1,2,1,8/10/2011 23:20,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,2,1
AJShannon, vegan blt crostinis w   daiyacheese    bettycrocker   adventure   via  meettheshannons  recipes  diy  happyhour,1,3,2,11/10/2011 22:16,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,5,1
AJShannon,a compassionate version of  chocolate  awesome    vegan mississippi mud pie cake   meettheshannons  recipes,NA,1,1,6/2/2011 0:50,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,5,1
AJShannon, vegan italian style stuffed squash blossoms    che bello    via  meettheshannons  recipes   lotta love for  daiyacheese,NA,6,2,8/3/2011 23:34,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,3,1
AJShannon,diablo  gardein beef less lentil chili mac with  lightlife  bacon    daiyacheese  via  meettheshannons  vegan  recipes,NA,2,1,8/17/2011 21:38,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,4,1
AJShannon,the  bettycrocker project    vegan nacho knots  aka rolls  with  daiyacheese  via  meettheshannons  recipes,1,5,3,7/27/2011 23:58,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,3,1
AJShannon, meet the shannons   come   get it  our top 15 favorite  vegan  recipes for  picnic    bbq season  ,NA,2,3,5/27/2011 21:41,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,5,1
AJShannon,the people want pumpkins  i will oblige them  mini  vegan  pumpkin cheesecakes   meettheshannons  veganmofo  recipes,1,3,1,10/21/2011 22:42,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,4,1
AJShannon,public apology   i got some  sweetandsara marshmallows to make  vegan smore  pies but then just ate them all  sorry   yesthisreallyhappened,1,2,1,7/29/2011 3:16,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,3,0
AJShannon,celebrating kind choices  the betty crocker project    vegan beer batter fried tofu   peta  meettheshannons,NA,3,2,1/26/2011 23:31,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,2,1
AJShannon,these little  vegan cheese   spinach biscuit bites are made with  daiyacheese   a whole lotta love   via  meetthshannons,2,1,1,9/20/2011 20:34,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,2,1
AJShannon,have you entered the very special  vegnews  contest yet  ps  vegan soy nog cheesecake is involved    meettheshannons,NA,5,NA,12/6/2011 21:56,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,3,1
AJShannon,our 1st podcast    diy italian  happyhour  vegan crostini w   daiyacheese   meettheshannons    delicioustv   be kind ,2,1,1,8/16/2011 19:16,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,4,1
AJShannon,dinner   vegan smokey garlic alfredo w   gardein chicken   some springtime vegetables   meettheshannons,NA,3,1,5/19/2011 2:48,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,2,1
AJShannon,celebrating  feedmefriday with  peta2   the betty crocker project    vegan macaroni salad w  peppered baked  tofu   yum,NA,2,NA,1/22/2011 3:06,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,4,1
AJShannon,  peta   the betty crocker project    vegan garlic cheesy biscuits   yes like the ones at red lobster    meettheshannons,NA,11,1,1/13/2011 0:20,Just a #feminist #vegan #author standing in front of a computer asking it to help me save the world. #binders https://t.co/BbpXpBmL4S,14976,3320,51579,1211,3/18/2008 14:00,FALSE,FALSE,AJShannon,"Brooklyn, NY",en,14169850,189,FALSE,2,1
ajsweetsoap,ours were the originals  and now theyre sold    etsy  halloween  vegan  finger  soap  spa  party  decor,NA,1,1,10/9/2011 15:10,"Exclusive Walking Dead inspired soap & decadent soap treats https://t.co/D9pmfI6E6y Fb, Instagram #twdfamily #twd",72603,5146,27038,2562,1/30/2009 1:22,FALSE,FALSE,ajsweetsoap,"ÜT: 40.697819,-73.810823",en,19747277,205,FALSE,8,1
albany_com,local woman ventures cross country to eat at every  vegan restaurant in america  ,NA,1,2,7/15/2011 20:20,"Love Albany, NY? Follow us for details on events, restaurants & more. Add your event info FREE at http://t.co/dE6gPKuxOS instagram: albany_ny",3306,14372,394,1062,2/24/2009 14:02,FALSE,FALSE,albany_com,"Albany, NY",en,21755786,219,FALSE,1,1
alexaclark,we reserved 2 tix for sat s contemporary  vegan dinner for our first contest   enter here    veganpickle,NA,1,NA,7/11/2011 20:39,"#Food, tech & #travel w/ lots of photos. Based in #Toronto but often traveling & oversharing.  Following me will make you hungry.",31438,13110,15635,14084,12/1/2006 1:46,FALSE,FALSE,alexaclark,Toronto,en,33343,510,FALSE,2,1
ALFAnimalLib,must read  beware  animal products escape labeling requirements in foods labeled  vegan  read below to find out how     ,NA,1,4,11/21/2011 6:09,Info&communiqués from the ALF. Abolitionist vegan&AR news with commentary. Provided for lawful purposes only. Illegal activity strictly discouraged.,26114,7963,373,1606,1/18/2010 22:29,FALSE,FALSE,ALFAnimalLib,Everywhere,en,106230431,226,FALSE,1,1
ALFAnimalLib,no being is safe from the violence of humankind  not even our own syrian regime extremely graphic    vegan peace,NA,2,1,6/9/2011 7:23,Info&communiqués from the ALF. Abolitionist vegan&AR news with commentary. Provided for lawful purposes only. Illegal activity strictly discouraged.,26114,7963,373,1606,1/18/2010 22:29,FALSE,FALSE,ALFAnimalLib,Everywhere,en,106230431,226,FALSE,1,1
ALFAnimalLib,this message could easily explain how the non humans feel be the change u want in this world it s the only way   vegan  ,NA,2,1,5/29/2011 3:05,Info&communiqués from the ALF. Abolitionist vegan&AR news with commentary. Provided for lawful purposes only. Illegal activity strictly discouraged.,26114,7963,373,1606,1/18/2010 22:29,FALSE,FALSE,ALFAnimalLib,Everywhere,en,106230431,226,FALSE,1,1
algarveferien,vegetarische restaurants in der algarve      algarve  vegetarisch  vegan  portugal ,1,1,1,10/28/2011 16:59,"Infos über die Algarve und Portugal: Hotels, Ferienwohnungen, Städte, Videos, Immobilien kaufen",3300,660,0,425,3/10/2009 11:27,FALSE,FALSE,algarveferien,"iPhone: 37.060593,-8.028320",de,23581214,65,FALSE,4,1
Alice_Vegan,with 1 acre of land you can feed 20  vegans or 1  meat eater   veganism  govegan  vegan,1,7,1,12/7/2011 18:53,#Vegan blog--Let the white rabbit guide you to the doors of the wonderful world of veganland! Que le lapin blanc te guide jusqu'au monde merveilleux des vegans,8431,5314,544,5469,11/26/2010 8:50,FALSE,FALSE,Alice_Vegan,Paris,en,219931058,130,FALSE,5,0
AliciaSilv,it s cookie week on made just right  submit your  vegan recipe now   be entered to win a  1 400 whole foods gift card,3,5,1,12/19/2011 22:31,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,1,1
AliciaSilv,more  vegan  thanksgiving treats  here s a yum pumpkin  cheese cake ,8,21,7,11/17/2011 1:48,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,2,1
AliciaSilv,check out my kind holiday  vegan  giftguide ,4,13,2,12/6/2011 23:11,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,2,1
AliciaSilv,keep those lips healthy this fall with delicious balms from  hurrawbalm   vegan  organic,1,7,5,10/10/2011 22:11,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,2,1
AliciaSilv,searching for some kind  resolutions    ethicalocean has delicious  vegan foods to start you off on the right foot ,5,14,3,12/26/2011 23:12,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,2,1
AliciaSilv,wild rice cornbread stuffing  vegan  thanksgiving ,8,12,9,11/19/2011 1:34,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,2,1
AliciaSilv,want to win vegan shoes   chocolates  from  purecitizen  also get 70  off and  freeshipping on all of their  vegan items,2,12,2,12/14/2011 22:53,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,2,1
AliciaSilv,my  vegan  thanksgiving menu ,17,34,11,11/17/2011 22:19,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,2,1
AliciaSilv,amazing  vegan  thanksgiving pumpkin pie ,9,22,8,11/18/2011 22:52,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,2,1
AliciaSilv,kind lifer ara gets rid of acne and gets inspired to open a  vegan bakery ,3,2,5,11/1/2011 21:37,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,1,1
AliciaSilv,win a bag of vegan dog food from v dog   enter now   vegan  dogs,2,12,2,11/2/2011 20:15,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,2,1
AliciaSilv,it s cupcake week on made just right  submit your recipe now   be entered to win a  1 400 whole foods gift card  vegan,4,14,1,12/12/2011 22:35,live the kind life,5880,310565,975,259,7/6/2009 23:01,FALSE,TRUE,AliciaSilv,"Los Angeles, CA",en,54365543,4800,FALSE,1,1
ALLCAPSVEGAN,my dinner didn t dream   vegan,NA,5,3,4/29/2011 7:27,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,1,0
ALLCAPSVEGAN,there s no such thing as a part time vegan  on monday  before 6pm  sorry  you eat strict vegetarian   vegan is 24 7  vegan is all your stuff,1,8,1,12/14/2011 0:29,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,1,0
ALLCAPSVEGAN,it s national cupcake week  our moment is now  strike  vegan bakers  strike  rise up like your delicious cakes   take the throne   itstime,1,7,NA,9/14/2011 23:04,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,2,0
ALLCAPSVEGAN,why don t i want to sit with you and hear about how much you love bacon  because fuck you  that s why   vegan,4,10,5,12/9/2011 23:24,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,1,0
ALLCAPSVEGAN,yo nature  why d ya make peach pits look so much like brains  as a  vegan it unsettles me  i feel like i m eating a tiny head  veganproblems,1,10,2,7/26/2011 2:23,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,2,0
ALLCAPSVEGAN,did you hear mercy for animals is expanding to canada  those hosers with factory farms won t know what hit them   mfa  canada  vegan,1,9,1,10/16/2011 22:41,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,3,0
ALLCAPSVEGAN,sure  i am  vegan  but i am not going to be a dick about it  actually  no  on second thought  i think i will be ,6,12,6,11/3/2011 7:14,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,1,0
ALLCAPSVEGAN,if you  used to be vegan    i hate to break it to you but that means you were never vegan  going  vegan means staying vegan  veganforlife,NA,12,2,5/20/2011 4:52,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,2,0
ALLCAPSVEGAN, i am such a baby lover    no no  i still eat them  i mean i love some kinds of babies    omnivorelogic  animalloversdonteatanimals  vegan,1,11,2,12/8/2011 9:09,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,3,0
ALLCAPSVEGAN,once you make the choice to never kill anyone again  you are reborn  all the fruits   veggies you eat after that taste different  vegan,3,19,3,11/18/2011 11:25,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,1,0
ALLCAPSVEGAN,from the awesome awesome  vegan bangerang that brought us veganthis we now have becausewemust org  so much love for this project ,NA,6,NA,10/2/2011 7:31,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,1,0
ALLCAPSVEGAN,wow  i am feeling really great today   must have been something i ate   vegan,NA,12,4,6/29/2011 0:16,GO VEGAN! STAY VEGAN!,2080,3189,0,2302,3/4/2011 20:27,FALSE,FALSE,ALLCAPSVEGAN,THE VEGAN UNIVERSE,en,260886770,120,FALSE,1,0
AllergicVegan,yum  twilight bars are my favorite  enter to win  vegan candy bars from  gomaxgofoods via  turningclockbac ,NA,2,1,2/13/2011 10:49,Vice President of Asthma and Allergy Foundation of America @aafanational and its food allergy division - Kids With Food Allergies @kfatweets #community #digital,2583,1032,1133,1241,1/8/2009 0:01,FALSE,FALSE,AllergicVegan,Pac NW,en,18745357,50,FALSE,1,0
AllisonRSamson,great  vegan sundae   milkshake recipe ideas using our decadent brownies and  so delicious ice cream and coconut milk  ,NA,1,NA,3/24/2011 1:00,"Self-care Coach, award-winning vegan chef + author, bringing delicious joy to your life. Mom. Co-founder of @TheDairyDetox.",6930,6141,338,4945,7/11/2009 18:23,FALSE,FALSE,AllisonRSamson,"Nevada City, CA",en,55892508,171,FALSE,1,1
AllisonRSamson,for casual family breakfasts or elegant brunches  this versatile and delicious  vegan frittata will please and satisfy ,NA,4,NA,3/21/2011 22:12,"Self-care Coach, award-winning vegan chef + author, bringing delicious joy to your life. Mom. Co-founder of @TheDairyDetox.",6930,6141,338,4945,7/11/2009 18:23,FALSE,FALSE,AllisonRSamson,"Nevada City, CA",en,55892508,171,FALSE,1,1
AllisonRSamson,allison s sweet and savory ideas for celebrating  vegan  easter  chocolate  sunshine and food with friends  ,NA,3,1,4/6/2011 22:52,"Self-care Coach, award-winning vegan chef + author, bringing delicious joy to your life. Mom. Co-founder of @TheDairyDetox.",6930,6141,338,4945,7/11/2009 18:23,FALSE,FALSE,AllisonRSamson,"Nevada City, CA",en,55892508,171,FALSE,2,1
AllisonRSamson,great thing about being  vegan  so many yummy veggies to grow  10 easy vegetables for beginners   freshthemovie,NA,1,1,6/16/2011 23:35,"Self-care Coach, award-winning vegan chef + author, bringing delicious joy to your life. Mom. Co-founder of @TheDairyDetox.",6930,6141,338,4945,7/11/2009 18:23,FALSE,FALSE,AllisonRSamson,"Nevada City, CA",en,55892508,171,FALSE,1,1
allthingsvegan,our food should be grown  not born   vegan,NA,21,1,6/27/2011 3:11,"Our mission is to promote quality vegan products, while expanding awareness of the positive impact of vegan lifestyles on animals, people, and the planet.",163,628,0,406,10/11/2010 17:34,FALSE,FALSE,allthingsvegan,"boulder,co",en,201357871,28,FALSE,1,0
AlmondJoy022, earthactivists you are not wasting your time  your tweets are daily reminders of why i m  vegan and why i always will be xo,NA,2,1,10/1/2011 20:06,<U+2764>,4651,112,235,166,9/28/2009 15:48,FALSE,FALSE,AlmondJoy022,"Rochester, NY",en,78045929,2,FALSE,1,0
aloka_brighton, vegan ice cream ready to take away at aloka in a range of amazing flavours   vegan  ice cream  brighton  raw,NA,1,1,7/5/2011 20:56,A unique wellbeing centre and vegan/raw restaurant in the heart of Brighton’s historic Lanes.,967,783,0,1043,5/14/2010 13:39,FALSE,FALSE,aloka_brighton,Brighton,en,143817231,40,FALSE,4,1
alxhybridus,   teaser   real men eat plants    10 sec  clip from  forksoverknives  realmeneatplants  vegan  fok,NA,2,1,5/26/2011 18:41,"Architecte paysagiste, musicien, végane, bénévole, dnb, house, DJ, remixer, né à Outremont, et athée",4917,592,559,1577,9/2/2010 6:18,FALSE,FALSE,alxhybridus,Montréal,fr,185948898,21,FALSE,3,1
Alysa,making this  rt  tesschallis so good on pasta  roasted veggies  quinoa    3 ingredient  vegan parmesan sprinkle  ,1,1,1,10/14/2011 22:14,a work in progress,48564,8994,18844,1928,12/10/2008 2:34,FALSE,FALSE,Alysa,"Arlington, TX",en,18009907,557,FALSE,1,1
